var1,var2,gamma,threshold
BAIm,globalClustering,N/A,T1
BAIm,globalClustering,N/A,T2
BAIm,networkDensity,N/A,T1
BAIm,networkDensity,N/A,T2
BAIm,posParticipation,default,none
BAIm,posParticipation,default,T1
BAIm,negParticipation,default,none
BAIm,negParticipation,default,T1
BAIm,posDiversity,default,none
BAIm,posDiversity,default,T1
BAIm,negDiversity,default,none
BAIm,negDiversity,default,T1
BAIb,globalClustering,N/A,T1
BAIb,globalClustering,N/A,T2
BAIb,networkDensity,N/A,T1
BAIb,networkDensity,N/A,T2
BAIb,posParticipation,default,none
BAIb,posParticipation,default,T1
BAIb,negParticipation,default,none
BAIb,negParticipation,default,T1
BAIb,posDiversity,default,none
BAIb,posDiversity,default,T1
BAIb,negDiversity,default,none
BAIb,negDiversity,default,T1
TASddf,globalClustering,N/A,T1
TASddf,globalClustering,N/A,T2
TASddf,networkDensity,N/A,T1
TASddf,networkDensity,N/A,T2
TASddf,posParticipation,default,none
TASddf,posParticipation,default,T1
TASddf,negParticipation,default,none
TASddf,negParticipation,default,T1
TASddf,posDiversity,default,none
TASddf,posDiversity,default,T1
TASddf,negDiversity,default,none
TASddf,negDiversity,default,T1
TASdif,globalClustering,N/A,T1
TASdif,globalClustering,N/A,T2
TASdif,networkDensity,N/A,T1
TASdif,networkDensity,N/A,T2
TASdif,posParticipation,default,none
TASdif,posParticipation,default,T1
TASdif,negParticipation,default,none
TASdif,negParticipation,default,T1
TASdif,posDiversity,default,none
TASdif,posDiversity,default,T1
TASdif,negDiversity,default,none
TASdif,negDiversity,default,T1
